id,combined_cleaned
160,센터 내 사진관 매월  번째 수요일 서부산 기계부품산업 일자리센터를 방문하면 증명사진 촬영이 무료  기 간     번째 수요일 시  대 상 서부산 일자리센터 방문 구직자 회당 명 내외 선착순 촬영  운영방법 촬영 후 안내드리는 일자에 재방문시 보정된 사진을 제공해 드립니다 각 회차별 적정 인원 선착순 마감되므로 예약 후 참여를 추천 드립니다  참여방법 방문접수 서부산 기계부품산업 일자리센터 사하구 낙동남로  정우헤리티지빌딩 층 전화접수 신청페이지는 매달 업로드 됩니다 월 신청 페이지에서는 수 수 일자 선택 가능 예술형 부산경제진흥원
161,서부산권 기계부품산업기계자동차조선기자재 위기근로자 취업장려금 공고 현실형 부산경제진흥원
162,월 부산중장년내일센터 프로그램 교육생모집 사회형 노사발전재단
163,중기부 전문위원이 알려주는 정부사업 합격 꿀팁 진취형 부산광역시 수영구청
164,월 부산중장년내일센터 프로그램 교육생 모집 사회형 노사발전재단
165,팽나무하우스 졸업식 꽃다발 만들기 예술형 부산광역시 동래구청
166,자개공방 창업가도전 드림캐처 만들기 예술형 부산광역시 연제구청
167,합격하는 사업계획서 작성법 진취형 부산광역시 연제구청
168,월 중장년내일센터 교육프로그램 사회형 노사발전재단
169, 금융공기업 채용설명회 사회형 벡스코
170,시민참여단 브랜드 상상더하기모집 안내 _ _ 탐구형 부산광역시
171,디지털튜터 키오스크 활용 교육 진취형 부산광역시 연제구청
172,크라우드 펀딩을 활용한 사업자금 마련하기 탐구형 부산광역시 연제구청
173,월 무료 증명사진 촬영 예술형 부산경제진흥원
174,월 무료 증명사진 촬영 예술형 부산경제진흥원
175,부산중장년내일센터 월 교육프로그램 교육생모집 사회형 노사발전재단
176,월 무료 증명사진 촬영 예술형 부산경제진흥원
177,년 기장군 일자리박람회 사회형 부산광역시 기장군청
178,위기근로자 취업장려금 지원사업 현실형 부산경제진흥원
179, 동래 마을교육 아카데미 참가자 모집 사회형 부산광역시 동래구청
180,초기창업가를 위한 창업명사 특강 탐구형 부산광역시 연제구청
181,메타버스 크리에이터 창업가 되기 탐구형 부산광역시 연제구청
182,스마트팜 활용 마을기업 교육 현실형 부산광역시 연제구청
183,ㅅ  소리의 파도   예술형 부산경제진흥원
184,원데이 클래스 베이커리 창업가 도전 탐구형 부산광역시 연제구청
185,돈이 되는 글쓰기 카피라이팅 예술형 부산광역시 연제구청
186,무료 증명사진 촬영 예술형 부산경제진흥원
187,월 생애경력설계 프로그램 교육생 모집 사회형 노사발전재단
188,디지털 리터러시 수강생 모집 진취형 부산광역시 연제구청
189,창업가의 마인드셋 창의적 사고와 도출기법 탐구형 부산광역시 연제구청
190,퍼스널 컬러를 활용한 창업 이미지메이킹 예술형 부산광역시 연제구청
191,모의면접 및 자소서 첨삭 진취형 부산경제진흥원
192,지식기반서비스기업 청년인재 지원사업을 함께 운영할 인원 모집 사회형 부산경제진흥원
193,제회 부산관광 분 숏폼 영화제 예술형 부산트래블라운지
194,심리안정힐링특강 사회형 부산경제진흥원
195, 학기 도시농업교육 프로그램 운영 안내기 모집 진취형 부산광역시 동래구청
196,사회적 경제 기업 컨설팅 데이 발효 콤부차 제조 창업가 도전 탐구형 부산광역시 연제구청
197,연제구 사회적경제 주간 교육 프로그램 사회형 부산광역시 연제구청
198,년 동래구 협동조합 설립운영 교육 수강생 모집 사회형 부산광역시 동래구청
199,년 동래구 사회적경제기업 창업아카데미 수강생 모집 탐구형 부산광역시 동래구청
200,돈 되는 유튜브 창업 그것이 알고싶어 탐구형 부산광역시 수영구청
201,부산형 스마트제조 고급인력 양성사업 재직자 교육 참가업체 모집 현실형 부산산학융합원
202,산모신생아건강관리사 양성과정 참가자 모집 문의전화 수영구 일자리 종합센터 사회형 부산광역시 수영구청
203,채용연계 해양대학교와 함께하는 삼성전자 반도체 안전감시단 교육생 모집 담당자 핸드폰 사회형 부산경제진흥원
204,나를알고 내일 찾고 사회형 부산광역시 수영구청
205,심리안정 힐링특강 사회형 부산경제진흥원
206,센터 내 사진관 예술형 부산경제진흥원
207,관광마이스 분야현직자와 함께하는 직진쇼참가자 모집 탐구형 부산경제진흥원
208, 구직자 역량강화 취업특강 사회형 부산경제진흥원
209, 중장년 생애설계 프로그램 사회형 부산경제진흥원
